,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Greenland,GRL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.19,0.38,1,84.69,72.25,93.78,1.22,0.37,1,85.24,72.38,93.33,1.23,0.39,1,85.31,72.04,94.31,1.22,0.42,1,84.83,70.62,94.79,1.24,0.4,1,84.36,70.62,95.26,1.21,0.4,1,84.13,69.71,95.19,1.19,0.37,1,84.13,69.23,92.79,1.17,0.38,2,83.65,69.23,92.79,1.18,0.35,2,84.13,71.15,92.31
Guatemala,GTM,-0.86,0.24,5,23.66,6.45,38.71,-0.86,0.22,5,23.2,7.73,35.57,-0.75,0.21,6,27.92,12.18,39.09,-0.65,0.19,7,32.32,18.18,43.94,-0.77,0.18,9,25.25,10.61,39.39,-0.61,0.16,12,30.73,20.49,44.88,-0.67,0.17,12,30.73,17.56,42.93,-0.81,0.15,15,22.44,14.63,35.12,-0.74,0.16,15,26.21,16.99,36.89,-0.65,0.16,14,30.58,17.96,41.26,-0.53,0.16,13,35.89,23.44,49.76,-0.53,0.16,14,35.71,21.9,48.1,-0.53,0.15,15,36.49,23.22,49.29,-0.66,0.14,15,29.38,18.96,41.23,-0.62,0.14,14,32.23,21.33,43.13,-0.74,0.14,13,27.4,15.38,36.06,-0.73,0.14,13,25,14.9,36.54,-0.74,0.14,14,24.04,13.46,34.13,-0.74,0.13,14,24.04,15.38,35.58
French Guiana,GUF,0.87,0.48,1,80.11,59.14,91.4,0.92,0.46,1,81.96,61.34,92.27,0.9,0.47,1,82.23,61.42,92.39,0.88,0.44,1,80.81,61.11,91.41,0.89,0.4,1,80.3,62.12,91.41,0.81,0.4,1,77.56,60,91.71,0.8,0.34,1,77.56,61.95,89.27,0.78,0.42,1,76.59,59.51,91.71,0.79,0.42,1,76.7,59.71,91.75,0.81,0.4,1,77.18,61.65,91.75,1.12,0.29,2,84.21,72.73,91.39,1.13,0.29,2,84.29,72.38,92.38,1.11,0.3,2,83.41,72.04,91.94,1.1,0.31,2,82.94,72.04,91.47,1.13,0.31,2,82.94,71.56,91.47,1.02,0.3,2,81.73,69.23,90.87,1.02,0.29,2,81.73,68.27,90.38,0.97,0.31,2,81.25,67.31,90.38,1,0.28,2,81.73,69.23,89.42
Guam,GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.38,0.4,1,66.83,49.76,83.41,0.8,0.34,1,77.56,61.95,89.27,0.78,0.42,1,76.59,59.51,91.71,0.79,0.42,1,76.7,59.71,91.75,0.81,0.4,1,77.18,61.65,91.75,0.84,0.43,1,77.03,61.24,90.91,0.82,0.43,1,77.14,60.95,90.95,0.8,0.42,1,75.83,61.14,89.57,0.79,0.43,1,76.3,60.66,90.52,0.79,0.44,1,76.78,59.72,89.57,1.23,0.42,1,87.02,69.23,95.19,1.22,0.42,1,87.02,68.27,95.19,1.23,0.42,1,87.5,68.75,94.71,1.24,0.4,1,86.54,70.67,95.19
Guyana,GUY,-0.14,0.32,3,52.69,31.18,65.05,-0.33,0.29,4,44.85,25.26,61.34,-0.4,0.28,4,41.12,23.86,58.88,-0.43,0.28,4,41.41,22.22,59.6,-0.4,0.26,4,42.42,21.72,58.59,-0.45,0.24,5,38.54,21.95,54.63,-0.56,0.21,7,36.1,18.05,51.22,-0.58,0.19,9,34.15,19.51,46.83,-0.59,0.19,10,33.01,18.93,48.54,-0.56,0.19,9,34.95,19.42,49.51,-0.54,0.19,9,34.93,20.1,51.2,-0.56,0.19,9,34.29,20.48,49.05,-0.61,0.18,9,32.23,18.96,48.34,-0.75,0.17,10,26.07,15.17,37.91,-0.65,0.18,10,29.86,18.01,44.08,-0.74,0.17,9,26.92,13.94,38.46,-0.64,0.15,9,31.25,18.75,43.75,-0.32,0.16,7,44.23,32.21,55.77,-0.51,0.15,7,37.5,23.56,46.63
"Hong Kong SAR, China",HKG,1.44,0.2,6,89.78,81.18,93.01,1.35,0.19,6,86.6,82.47,92.27,1.34,0.18,6,86.29,83.76,91.88,1.71,0.17,6,91.92,89.39,93.94,1.85,0.17,6,92.93,91.41,96.97,1.87,0.16,7,94.15,91.71,97.07,1.78,0.15,7,93.17,91.22,97.56,1.87,0.15,9,93.66,91.71,96.59,1.92,0.16,9,93.69,91.75,97.09,1.9,0.16,9,94.17,91.75,97.09,1.89,0.15,9,94.26,91.87,97.13,1.96,0.15,9,94.76,92.86,98.57,1.85,0.16,10,94.31,91.94,96.68,1.74,0.15,10,93.36,90.52,95.26,1.64,0.14,10,91.94,89.57,94.79,1.62,0.14,9,92.31,89.9,94.71,1.65,0.14,8,92.79,89.9,93.75,1.56,0.15,9,91.83,89.42,92.79,1.61,0.13,10,92.31,88.94,92.79
Honduras,HND,-1.08,0.24,5,14.52,2.15,30.65,-0.94,0.22,5,19.07,4.12,33.51,-0.95,0.21,6,17.26,5.08,31.47,-0.97,0.19,7,17.68,4.04,31.82,-0.92,0.18,8,17.17,7.07,32.32,-0.89,0.17,11,20,10.24,29.27,-0.81,0.17,11,22.44,13.17,36.59,-0.83,0.17,12,20.98,10.73,36.1,-0.79,0.18,12,22.33,12.62,36.89,-0.9,0.17,12,18.45,7.77,32.52,-0.9,0.16,13,19.62,10.05,28.23,-0.89,0.16,13,19.52,11.43,30.95,-0.83,0.16,13,21.33,14.22,34.12,-0.95,0.15,13,17.54,10.43,27.96,-0.95,0.16,13,18.01,9.95,27.49,-0.79,0.14,13,23.56,14.42,34.13,-0.57,0.14,13,32.69,22.12,46.15,-0.66,0.14,14,30.29,16.83,38.46,-0.72,0.13,14,25.48,16.35,37.02
Croatia,HRV,-0.58,0.28,3,32.8,15.05,52.69,-0.56,0.19,6,34.54,22.16,47.94,-0.07,0.19,7,56.35,42.64,63.45,0.22,0.16,8,63.64,56.06,71.72,0.29,0.16,9,64.14,58.59,73.74,0.26,0.15,11,62.93,56.1,71.71,0.17,0.14,11,58.54,55.12,66.83,0.08,0.14,13,59.51,53.17,64.88,0.09,0.14,13,58.74,53.88,66.99,-0.01,0.13,12,58.25,50.49,62.62,-0.05,0.14,12,57.89,49.28,62.68,0.06,0.14,12,60.48,53.81,63.81,0.06,0.13,13,59.24,54.03,64.93,0.01,0.12,14,59.72,52.61,63.03,0.12,0.12,14,62.09,55.92,66.35,0.22,0.12,14,62.02,57.69,67.79,0.25,0.12,14,63.94,58.17,67.31,0.2,0.13,13,62.5,57.69,66.35,0.19,0.12,13,61.06,56.73,65.87
Haiti,HTI,-1.17,0.32,3,9.14,0,31.18,-1.2,0.29,4,8.76,0.52,29.9,-1.24,0.28,4,6.09,0,26.4,-1.69,0.24,5,0,0,4.04,-1.72,0.21,7,0,0,3.54,-1.47,0.22,7,2.93,0,11.22,-1.37,0.21,7,4.39,0,15.61,-1.31,0.19,10,6.83,0.49,17.07,-1.28,0.19,10,6.31,0.49,18.45,-1.21,0.19,10,6.8,1.94,18.45,-1.09,0.17,11,12.92,3.35,22.97,-1.19,0.17,11,10,1.9,19.05,-1.22,0.16,12,7.11,1.42,17.54,-1.24,0.15,12,9,0.47,17.06,-1.13,0.16,12,11.85,3.32,21.33,-1.23,0.15,11,9.13,2.88,14.9,-1.24,0.15,11,10.1,2.4,13.94,-1.33,0.16,10,7.69,1.92,12.5,-1.24,0.14,11,10.1,4.81,13.94
Hungary,HUN,0.67,0.21,6,74.19,63.44,81.18,0.77,0.16,8,77.84,69.07,82.47,0.79,0.17,9,77.66,71.57,84.26,0.58,0.15,9,74.24,67.17,79.29,0.68,0.15,10,75.76,71.72,80.81,0.69,0.14,10,75.61,70.73,81.46,0.65,0.14,10,72.2,67.32,79.02,0.66,0.13,12,74.15,69.76,77.56,0.62,0.13,12,73.3,69.9,76.7,0.47,0.13,14,70.87,63.59,73.79,0.43,0.13,14,70.33,64.11,72.73,0.37,0.13,13,68.57,62.38,72.38,0.4,0.13,13,68.72,63.03,72.04,0.36,0.12,14,67.3,62.09,72.04,0.32,0.13,13,65.88,61.14,70.14,0.16,0.13,13,60.58,55.29,66.35,0.15,0.13,13,61.54,55.77,66.35,0.1,0.13,12,60.58,53.85,65.38,0.09,0.12,12,59.13,53.37,64.42
Indonesia,IDN,-0.86,0.19,7,22.04,8.6,34.41,-1.18,0.17,8,10.31,0.52,20.62,-0.92,0.16,9,19.29,7.11,30.96,-1.14,0.15,9,9.6,1.52,22.22,-0.97,0.15,11,15.15,7.58,27.27,-0.93,0.14,13,17.07,10.73,26.34,-0.88,0.13,13,19.51,13.17,30.73,-0.84,0.13,16,20.49,14.63,31.22,-0.62,0.14,16,31.55,19.9,40.29,-0.59,0.13,15,33.98,21.36,41.75,-0.84,0.13,15,21.05,15.31,29.19,-0.75,0.13,15,24.76,16.67,35.24,-0.7,0.14,16,25.12,18.48,39.34,-0.64,0.13,16,31.28,21.33,40.76,-0.61,0.13,15,32.7,21.8,41.71,-0.56,0.12,14,33.65,24.04,44.23,-0.46,0.12,14,39.42,28.85,49.52,-0.4,0.13,14,41.83,32.21,50.48,-0.25,0.12,14,48.08,41.83,54.81
India,IND,-0.38,0.19,7,43.01,29.57,53.76,-0.25,0.17,8,48.45,35.05,55.67,-0.35,0.16,8,44.16,31.47,54.82,-0.52,0.16,8,35.86,26.77,47.47,-0.42,0.15,9,41.41,30.3,53.54,-0.41,0.14,11,40.98,29.27,51.22,-0.36,0.14,11,44.39,34.63,52.68,-0.28,0.13,14,46.83,37.56,56.1,-0.4,0.14,14,40.29,31.07,52.91,-0.34,0.14,14,44.17,34.47,53.88,-0.45,0.13,14,38.76,27.75,50.72,-0.47,0.13,14,38.57,28.1,50,-0.54,0.14,15,35.55,23.22,48.34,-0.51,0.13,15,36.97,27.49,47.39,-0.52,0.13,14,36.97,26.07,45.97,-0.43,0.12,14,41.83,29.81,51.44,-0.35,0.12,14,44.71,33.17,53.37,-0.28,0.13,14,47.6,35.58,55.29,-0.24,0.12,14,48.56,41.83,54.81
Ireland,IRL,1.71,0.21,6,91.94,88.71,96.24,1.59,0.19,6,91.75,85.05,93.3,1.43,0.2,6,90.36,84.26,92.39,1.41,0.18,6,89.39,83.33,91.41,1.46,0.19,6,90.91,83.33,92.42,1.29,0.17,7,87.32,82.93,91.71,1.59,0.17,7,92.2,88.29,93.17,1.71,0.16,9,92.2,90.73,95.61,1.75,0.17,9,93.2,91.75,96.12,1.75,0.16,9,92.72,91.75,95.63,1.76,0.17,9,93.78,90.91,95.22,1.69,0.17,9,92.86,88.57,94.76,1.56,0.17,10,91.47,88.15,93.84,1.46,0.16,10,90.52,83.89,92.89,1.54,0.17,9,90.05,86.73,93.84,1.6,0.16,8,91.83,88.94,95.19,1.62,0.16,8,92.31,89.42,93.27,1.58,0.17,8,92.31,89.42,93.75,1.55,0.15,8,91.35,88.46,92.31
"Iran, Islamic Rep.",IRN,-0.48,0.26,4,37.63,18.82,54.3,-0.45,0.23,4,39.69,24.74,54.12,-0.4,0.26,4,39.59,25.38,57.87,-0.19,0.2,5,50,34.34,61.11,-0.27,0.2,6,47.47,33.33,59.6,-0.39,0.19,8,42.44,27.32,54.15,-0.48,0.18,8,39.51,22.93,52.2,-0.48,0.17,10,38.05,23.9,50.24,-0.55,0.17,10,34.95,19.9,49.03,-0.78,0.17,10,24.27,14.56,36.89,-0.84,0.18,9,20.57,10.53,34.45,-0.95,0.17,9,17.62,7.14,29.52,-0.87,0.16,10,20.38,12.32,32.23,-0.79,0.15,10,23.22,15.17,35.07,-0.69,0.15,10,27.96,18.48,39.81,-0.62,0.14,9,31.25,20.19,42.79,-0.6,0.15,9,31.73,20.19,44.23,-0.71,0.15,9,26.44,13.94,36.54,-0.81,0.14,9,20.19,13.94,31.25
Iraq,IRQ,-1.6,0.26,4,0.54,0,9.14,-1.43,0.23,4,1.03,0,13.92,-1.5,0.26,4,2.03,0,12.18,-1.41,0.22,4,1.52,0,11.62,-1.21,0.22,5,8.08,0,20.2,-1.48,0.21,5,1.95,0,10.73,-1.37,0.2,5,3.9,0,14.63,-1.45,0.22,5,2.44,0,12.2,-1.46,0.22,5,2.91,0,12.14,-1.46,0.21,8,3.4,0,11.17,-1.33,0.2,9,4.31,0.48,17.7,-1.26,0.18,10,6.19,0.95,17.14,-1.17,0.18,9,11.37,1.42,20.38,-1.22,0.16,10,9.48,0.95,17.54,-1.28,0.16,10,7.58,0.47,15.64,-1.33,0.16,10,5.77,0.48,12.98,-1.37,0.16,10,4.81,0.48,12.02,-1.39,0.16,9,6.25,1.44,12.02,-1.37,0.15,9,6.73,0.96,12.02
Iceland,ISL,1.73,0.24,5,93.01,87.63,97.85,1.97,0.23,5,94.33,90.72,100,2.27,0.24,5,98.48,93.4,100,2.25,0.23,5,97.47,92.42,100,2.29,0.21,5,98.48,93.43,100,2.19,0.19,6,98.05,93.66,100,2.31,0.19,6,99.51,96.1,100,2.18,0.18,7,97.56,94.15,100,2.21,0.19,7,97.57,93.2,100,2.34,0.19,7,99.51,95.63,100,2.04,0.21,7,95.69,92.34,99.04,1.94,0.19,8,94.29,92.38,98.57,1.94,0.18,8,94.79,92.42,99.05,1.89,0.16,9,94.79,91.47,97.63,1.91,0.17,9,95.73,91.47,97.63,1.83,0.16,8,93.75,90.87,97.12,1.94,0.16,8,95.67,92.79,97.6,1.95,0.17,8,95.19,92.79,98.56,1.84,0.15,8,93.27,91.83,97.12
Israel,ISR,1.35,0.21,6,88.17,81.18,91.4,1.19,0.19,6,84.54,79.38,90.72,1.05,0.2,6,84.26,76.14,89.85,1.23,0.18,6,85.35,81.31,90.91,1.12,0.19,6,83.33,77.27,89.9,0.93,0.17,7,81.95,74.15,85.37,0.83,0.17,7,79.02,69.76,82.93,1.01,0.16,10,80.49,74.15,88.29,0.85,0.17,10,77.18,72.33,84.47,0.9,0.16,10,78.64,73.79,83.5,0.81,0.17,9,74.64,71.29,82.3,0.76,0.17,9,74.29,70.48,81.9,0.8,0.17,9,76.3,70.62,81.99,0.91,0.16,9,77.73,72.51,83.89,0.91,0.17,9,78.67,72.51,82.94,0.87,0.16,9,78.85,70.67,82.21,0.94,0.16,9,79.33,75,84.13,1.19,0.17,8,84.62,79.81,90.38,0.83,0.15,8,79.81,70.67,82.21
Italy,ITA,0.41,0.21,6,67.2,59.14,76.34,0.52,0.19,6,70.62,63.4,79.38,0.73,0.2,6,77.16,69.04,84.26,0.55,0.18,6,73.23,63.64,79.29,0.51,0.19,6,72.73,62.12,77.27,0.38,0.17,7,66.34,57.07,74.15,0.41,0.17,7,67.32,58.05,73.17,0.48,0.16,9,71.22,61.95,74.15,0.34,0.17,9,67.48,58.25,72.82,0.27,0.17,9,64.08,58.74,72.82,0.2,0.17,9,64.11,55.98,70.81,0.13,0.17,11,61.9,53.81,69.05,0.18,0.16,12,63.51,55.92,70.62,0.07,0.15,12,60.19,53.08,65.4,0.05,0.15,11,59.72,53.08,64.45,-0.03,0.14,10,56.25,50,61.54,0.02,0.14,10,57.69,52.4,63.94,0.08,0.15,10,59.62,51.44,65.38,0.19,0.13,10,61.54,54.81,66.35
Jamaica,JAM,0.19,0.26,4,61.83,49.46,73.12,0.11,0.22,5,61.34,48.45,69.07,0.03,0.21,6,58.38,45.18,66.5,-0.46,0.19,6,39.9,27.27,53.03,-0.38,0.18,7,42.93,28.79,55.56,-0.35,0.17,8,44.39,29.27,54.15,-0.31,0.17,8,47.8,34.63,56.1,-0.26,0.18,10,47.8,36.1,58.05,-0.3,0.18,10,48.54,33.01,57.28,-0.3,0.18,10,48.54,33.98,58.74,-0.28,0.18,10,49.28,32.06,59.33,-0.23,0.18,10,50.95,36.67,60,-0.16,0.16,11,54.03,40.28,61.14,-0.26,0.14,13,49.29,37.44,58.29,-0.28,0.14,13,48.34,37.44,57.82,-0.3,0.14,13,48.56,36.06,54.33,-0.23,0.14,13,50.96,39.42,57.21,-0.16,0.14,13,51.44,42.31,59.13,-0.17,0.13,11,50.48,42.79,58.17
Jordan,JOR,-0.04,0.24,5,55.38,39.78,65.05,0.1,0.19,6,59.79,48.97,67.53,0.08,0.21,6,59.39,47.21,69.04,-0.05,0.19,6,56.06,43.43,63.64,0.31,0.17,9,65.66,58.59,74.24,0.26,0.16,10,61.95,56.1,71.71,0.26,0.15,10,62.93,56.1,69.27,0.26,0.15,12,64.39,57.56,71.22,0.26,0.15,13,64.08,57.77,71.36,0.36,0.15,13,66.5,60.68,73.3,0.16,0.15,13,62.2,55.98,69.38,0.04,0.15,13,59.52,52.38,63.81,0.1,0.15,13,61.14,54.03,67.3,0.07,0.13,14,60.66,53.55,64.93,0.07,0.13,13,60.19,54.03,64.45,0.14,0.13,12,59.62,54.33,65.87,0.26,0.13,12,64.42,58.17,67.79,0.27,0.13,12,64.9,59.13,67.31,0.26,0.13,11,63.94,58.17,66.83
Japan,JPN,1.19,0.19,7,84.41,80.11,90.32,1.1,0.18,7,84.02,78.87,89.69,1.27,0.17,7,85.79,83.76,90.86,0.97,0.16,7,82.32,77.27,85.35,1.21,0.17,7,84.34,81.31,90.91,1.22,0.15,8,85.85,81.95,91.71,1.22,0.15,8,84.39,80,90.73,1.33,0.14,10,89.27,82.93,91.71,1.24,0.16,11,85.44,79.13,91.75,1.34,0.15,11,88.83,83.01,91.75,1.38,0.14,11,89,84.21,91.39,1.56,0.15,11,91.43,88.1,93.33,1.56,0.15,11,91,88.15,93.84,1.63,0.14,11,91.94,89.1,94.31,1.66,0.14,11,92.42,89.57,94.79,1.69,0.13,11,92.79,90.38,95.19,1.57,0.13,11,91.35,89.42,92.79,1.52,0.14,11,90.87,89.42,92.79,1.52,0.13,11,90.38,88.46,92.31
Kazakhstan,KAZ,-1.13,0.28,3,12.37,0.54,30.11,-1.02,0.19,6,14.95,3.09,30.93,-1.12,0.18,8,9.64,2.54,24.87,-1.11,0.17,7,10.1,1.52,24.75,-1.03,0.17,8,11.62,5.56,26.77,-1.1,0.16,9,12.68,5.37,21.95,-1.01,0.14,10,16.59,8.78,22.93,-0.99,0.14,12,17.56,7.8,23.9,-0.99,0.14,13,17.48,7.28,24.27,-0.98,0.12,14,16.02,7.77,24.27,-0.93,0.13,13,18.66,10.05,25.36,-1,0.13,13,16.67,7.62,21.9,-0.99,0.13,13,17.54,8.06,23.22,-0.92,0.12,15,18.96,11.85,27.49,-0.93,0.12,14,18.96,10.9,26.07,-0.83,0.12,14,22.6,13.94,30.29,-0.85,0.12,14,19.71,12.98,29.33,-0.82,0.13,13,20.19,13.46,32.21,-0.82,0.12,13,19.71,13.94,29.81
Kenya,KEN,-1.16,0.26,4,10.75,0.54,27.42,-1.15,0.21,6,12.37,0.52,25.26,-1.06,0.22,6,12.69,2.54,29.44,-1,0.19,7,15.15,3.03,31.31,-0.88,0.18,10,20.2,8.59,33.84,-0.86,0.16,12,21.46,11.22,31.22,-1,0.16,12,17.07,8.29,24.88,-0.93,0.15,15,19.02,9.27,28.29,-0.97,0.15,15,18.45,7.28,27.18,-1.06,0.15,15,14.56,4.37,21.36,-1.06,0.15,15,15.31,4.31,22.01,-0.91,0.15,15,19.05,11.9,29.05,-0.95,0.14,16,18.01,8.53,23.7,-1.09,0.13,16,12.32,3.32,18.96,-1.03,0.13,16,14.69,8.53,21.8,-0.93,0.13,15,16.35,11.06,27.4,-1.01,0.13,15,13.94,10.1,22.6,-0.89,0.13,15,16.83,12.02,28.37,-0.96,0.13,15,15.38,11.54,23.08
Kyrgyz Republic,KGZ,-0.99,0.34,2,17.2,0.54,39.78,-0.84,0.23,4,24.74,7.73,38.14,-0.9,0.21,6,19.8,5.58,33.5,-0.99,0.21,6,16.67,2.53,32.32,-0.98,0.19,7,13.64,5.56,29.8,-1.1,0.18,8,12.2,3.41,22.93,-1.25,0.16,9,8.78,0.98,17.07,-1.32,0.15,12,5.85,0.98,14.15,-1.32,0.15,12,5.34,0.97,12.62,-1.22,0.14,12,6.31,3.4,15.53,-1.31,0.15,12,4.78,0.48,14.83,-1.17,0.15,12,10.48,2.38,17.62,-1.22,0.14,12,7.58,1.9,17.54,-1.15,0.14,13,11.37,2.37,18.48,-1.16,0.14,13,10.43,3.32,18.48,-1.13,0.15,13,12.02,4.81,19.23,-1.15,0.15,13,11.06,3.85,18.27,-1.08,0.15,12,12.5,7.69,19.23,-1.05,0.15,12,12.98,8.17,19.71
Cambodia,KHM,-1.02,0.28,3,16.13,2.15,32.8,-1.15,0.22,4,11.86,0.52,26.8,-0.96,0.22,5,16.75,4.06,32.49,-1.01,0.21,5,14.65,2.02,31.82,-0.99,0.2,7,13.13,5.05,30.3,-1.06,0.19,8,14.15,4.88,25.37,-1.21,0.17,10,10.24,1.46,17.56,-1.25,0.14,13,7.32,1.95,16.59,-1.15,0.15,13,10.19,3.4,18.93,-1.23,0.15,14,5.83,2.43,15.53,-1.17,0.14,14,10.05,1.91,18.18,-1.24,0.14,14,7.14,1.43,16.19,-1.24,0.15,14,6.16,1.42,17.06,-1.07,0.15,14,13.27,3.79,21.8,-1.05,0.14,14,12.8,6.16,21.8,-1.14,0.14,13,11.54,4.81,17.79,-1.12,0.14,13,12.02,5.29,18.75,-1.27,0.15,13,9.13,4.33,13.46,-1.29,0.15,13,8.65,3.37,12.98
Kiribati,KIR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.58,0.57,1,33.51,0.52,65.98,-0.33,0.39,2,44.67,16.24,64.47,-0.09,0.44,2,54.55,25.76,74.75,0.16,0.43,2,62.12,35.35,78.28,0.32,0.29,3,65.37,51.71,76.59,0.2,0.27,3,60.49,50.24,71.71,0.05,0.31,3,59.02,38.54,72.2,0.1,0.31,3,59.22,38.83,72.82,-0.03,0.31,3,57.28,34.95,70.87,-0.16,0.3,4,54.07,28.23,67.94,-0.08,0.3,4,56.19,32.38,69.05,0.09,0.3,4,60.19,42.65,72.04,0.01,0.3,4,59.24,37.44,70.14,-0.04,0.3,4,58.29,35.55,69.19,0.25,0.31,4,63.46,50,75.48,0.22,0.3,4,62.98,48.56,75.48,0.25,0.3,4,64.42,50,75.48,0.39,0.31,3,66.35,52.88,80.77
St. Kitts and Nevis,KNA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.19,0.57,1,63.4,29.9,84.02,0.11,0.45,1,60.91,31.47,79.19,0.32,0.5,1,67.17,36.87,83.33,0.32,0.47,1,67.68,40.4,82.83,0.26,0.29,3,62.44,51.22,75.61,0.98,0.28,3,80.98,69.76,90.73,0.88,0.31,3,78.54,68.29,90.73,0.89,0.31,3,78.64,69.9,90.78,0.98,0.32,2,80.1,69.42,91.75,1.04,0.34,2,81.34,70.81,91.39,1.01,0.34,2,81.43,70.48,90.95,1.02,0.33,2,81.04,70.62,91.47,0.94,0.33,2,80.09,68.72,90.52,0.94,0.34,2,80.09,67.3,89.57,0.25,0.34,2,62.98,47.12,76.44,0.5,0.24,3,68.27,60.58,78.37,0.51,0.24,3,67.79,61.06,79.33,0.51,0.27,2,68.75,58.65,80.77
"Korea, Rep.",KOR,0.38,0.19,7,65.59,59.14,74.73,0.35,0.17,8,66.49,58.25,74.74,0.32,0.16,8,65.48,58.88,73.1,0.5,0.16,8,72.22,63.64,77.78,0.56,0.15,9,74.24,65.15,77.27,0.39,0.14,10,67.32,60,73.17,0.62,0.14,10,71.71,66.83,79.02,0.35,0.13,12,65.85,60,72.2,0.6,0.14,12,72.82,68.93,76.7,0.47,0.14,12,70.39,63.11,74.27,0.54,0.14,13,71.77,67.46,73.68,0.47,0.14,13,70.95,63.81,72.38,0.53,0.14,14,71.09,65.4,72.99,0.54,0.13,13,70.62,65.88,73.93,0.61,0.13,13,71.56,67.3,76.78,0.55,0.12,13,70.19,65.38,74.52,0.37,0.13,12,66.83,61.54,69.71,0.46,0.14,12,67.31,63.94,73.56,0.48,0.12,12,67.79,64.42,74.52
Kuwait,KWT,0.48,0.26,4,70.43,59.14,80.65,0.59,0.23,4,74.23,63.4,81.96,0.59,0.26,4,73.6,61.42,83.76,1.01,0.2,5,82.83,76.77,85.86,0.8,0.24,4,77.27,70.71,83.84,0.79,0.23,4,76.1,67.8,84.88,0.51,0.18,6,69.27,60.49,77.56,0.43,0.17,7,69.76,60,74.15,0.37,0.18,7,69.42,58.25,73.79,0.42,0.17,8,68.93,61.17,74.27,0.31,0.18,8,67.46,59.33,72.25,0.3,0.18,8,65.24,58.1,72.38,0.09,0.17,8,59.72,53.08,68.25,-0.19,0.17,7,52.13,38.39,60.66,-0.19,0.17,7,52.61,39.81,60.66,-0.24,0.16,7,50.96,36.06,57.69,-0.23,0.16,7,51.44,37.5,58.17,-0.27,0.17,7,48.08,32.69,58.17,-0.33,0.15,7,44.71,31.73,54.33
